"hora","tempo_ida","tempo_volta","velocidade_ida","velocidade_volta"
"00:00:00",36,42,74.7,62.1
"01:00:00",36,42,74.7,62.1
"02:00:00",36,42,74.7,62.1
"03:00:00",36,42,74.7,62.1
"04:00:00",36,42,74.7,62.1
"05:00:00",41.4,48.3,64.9,54
"06:00:00",59.4,69.3,45.3,37.7
"07:00:00",68.04,79.38,39.5,32.9
"08:00:00",66.24,77.28,40.6,33.8
"09:00:00",62.28,72.66,43.2,35.9
"10:00:00",50.76,59.22,53,44.1
"11:00:00",47.88,55.86,56.1,46.7
"12:00:00",48.96,57.12,54.9,45.7
"13:00:00",49.32,57.54,54.5,45.4
"14:00:00",47.16,55.02,57,47.4
"15:00:00",49.32,57.54,54.5,45.4
"16:00:00",59.04,68.88,45.5,37.9
"17:00:00",66.96,78.12,40.1,33.4
"18:00:00",81.72,95.34,32.9,27.4
"19:00:00",77.4,90.3,34.7,28.9
"20:00:00",55.8,65.1,48.2,40.1
"21:00:00",43.2,50.4,62.2,51.8
"22:00:00",36,42,74.7,62.1
"23:00:00",36,42,74.7,62.1
